Team Number,Country,State,City,Postal Code,State Code,fips
5099,USA,New York,Northport,11768,NY,n36103
5102,USA,California,Santa Maria,93454,CA,"c06079,c06083"
5103,USA,Texas,New Braunfels,78130,TX,"t48091,t48187,t48209"
5104,USA,California,Pacific Grove,93950,CA,c06053
5107,USA,California,Upland,91786,CA,"c06037,c06071"
5109,USA,Georgia,Johns Creek,30022,GA,g13121
5110,USA,Michigan,Elk Rapids,49629,MI,m26009
5112,USA,Rhode Island,North Scituate,02857,RI,r44007
5113,USA,New Jersey,Moorestown,08057,NJ,n34005
5114,USA,Michigan,Fenton,48430,MI,"m26049,m26093,m26125"
5115,USA,Maryland,Silver Spring,20906,MD,m24031
5119,USA,Kansas,Lawrence,66046,KS,k20045
5123,USA,New York,Yonkers,10705,NY,"n36005,n36119"
5124,USA,California,Torrance,90503,CA,c06037
5125,USA,Illinois,Chicago,60609,IL,i17031
5126,USA,Missouri,Riverside,64150,MO,"m29047,m29165"
5130,USA,South Carolina,LIttle River,29566,SC,s45051
5132,USA,Georgia,Winder,30680,GA,"g13013,g13135,g13157,g13219"
5134,USA,California,Clovis,93619,CA,c06019
5136,USA,California,Santa Ynez,93460,CA,c06083
5137,USA,California,San Marcos,92069,CA,c06073
5141,USA,Missouri,Kansas City,64119,MO,"m29047,m29095"
5142,USA,Connecticut,West Haven,06516,CT,c09009
5143,USA,Minnesota,Grand Rapids,55744,MN,m27061
5145,USA,Florida,Gainesville,32608,FL,f12001
5147,USA,Missouri,Fulton,65251,MO,m29027
5148,USA,Wisconsin,New Berlin,53146,WI,w55133
5149,USA,New York,Troy,12180,NY,n36083
5150,USA,Michigan,Flint,48506,MI,m26049
5152,USA,Michigan,Otsego,49078,MI,"m26005,m26077,m26159"
5155,USA,Michigan,Ubly,48475,MI,"m26063,m26151"
5156,USA,Michigan,Pigeon,48755,MI,m26063
5159,USA,Utah,Salt Lake City,84121,UT,u49035
5160,USA,North Carolina,Cary,27513,NC,n37183
5161,USA,Michigan,Plainwell,49080,MI,"m26005,m26015,m26077"
5162,USA,Michigan,Big Rapids,49307,MI,"m26107,m26123"
5166,USA,Michigan,Freeland,48623,MI,"m26017,m26111,m26145"
5167,USA,Michigan,Marysville,48040,MI,m26147
5168,USA,Louisiana,New Orleans,70119,LA,l22071
5171,USA,California,Monterey,93940,CA,c06053
5172,USA,Minnesota,Greenbush,56726,MN,m27135
5173,USA,Michigan,Fennville,49408,MI,m26005
5176,USA,Missouri,Saint Louis,63130,MO,"m29189,m29510"
5181,USA,Pennsylvania,Wyndmoor,19038,PA,p42091
5182,USA,Michigan,Dowagiac,49047,MI,"m26021,m26027,m26159"
5183,USA,Michigan,Gaylord,49735,MI,m26137
5186,USA,Tennessee,Antioch,37013,TN,t47037
5188,USA,Indiana,Terre Haute,47803,IN,"i18021,i18167"
5189,USA,Kansas,Kansas City,66101,KS,k20209
5190,USA,North Carolina,Cary,27519,NC,"n37037,n37183"
5193,USA,Michigan,Saginaw,48602,MI,m26145
5194,USA,Michigan,Gobles,49055,MI,"m26005,m26159"
5196,USA,Florida,Pompano Beach,33076,FL,f12011
5197,USA,Michigan,Detroit,48208,MI,m26163
5198,USA,Oregon,Grants Pass,97526,OR,"o41029,o41033"
5199,USA,California,San Juan Capistrano,92675,CA,c06059
5202,USA,New York,New Rochelle,10804,NY,n36119
5203,USA,Michigan,Sanford,48657,MI,m26111
5204,USA,Michigan,Three Rivers,49093,MI,"m26027,m26149"
5205,USA,Michigan,Concord,49237,MI,"m26025,m26075"
5212,USA,Texas,Denton,76203,TX,t48121
5213,USA,Michigan,Saint Ignace,49781,MI,m26097
5214,USA,Michigan,Saint Clair Shores,48080-2183,MI,"m26099,m26163"
5215,USA,Michigan,Frankenmuth,48734,MI,"m26145,m26157"
5216,USA,Michigan,Essexville,48732,MI,m26017
5217,USA,Michigan,Dearborn,48126,MI,m26163
5219,USA,Georgia,East Point,30344,GA,"g13063,g13121"
