Team Number,Country,State,City,Postal Code,State Code,fips
442,USA,Alabama,Huntsville,35806,AL,c01089
447,USA,Indiana,Anderson,46016,IN,c18095
449,USA,Maryland,Silver Spring,20901,MD,c24031
451,USA,Ohio,Maumee,43537,OH,c39095
453,USA,Michigan,Clinton Township,48036,MI,c26099
456,USA,Mississippi,Vicksburg,39180,MS,c28149
457,USA,Texas,San Antonio,78224,TX,c48029
461,USA,Indiana,West Lafayette,47906,IN,"c18157,c18171,c18181"
467,USA,Massachusetts,Shrewsbury,01545,MA,c25027
468,USA,Michigan,Flint,48507,MI,c26049
469,USA,Michigan,Bloomfield Hills,48304,MI,c26125
484,USA,Pennsylvania,Havertown,19083,PA,"c42045,c42091"
486,USA,Pennsylvania,Wallingford,19086,PA,c42045
488,USA,Washington,Seattle,98144,WA,c53033
492,USA,Washington,Bellevue,98005,WA,c53033
494,USA,Michigan,Goodrich,48438,MI,"c26049,c26087"
496,USA,New York,Port Jefferson,11777,NY,c36103
498,USA,Arizona,Glendale,85306,AZ,c04013
501,USA,New Hampshire,Manchester,03102,NH,"c33011,c33013"
503,USA,Michigan,Novi,48375,MI,c26125
509,USA,New Hampshire,Bedford,03110,NH,c33011
514,USA,New York,Miller Place,11764,NY,c36103
522,USA,New York,Staten Island,10301,NY,c36085
525,USA,Iowa,Cedar Falls,50613,IA,"c19013,c19017,c19023,c19075"
527,USA,New York,Massapequa,11758,NY,"c36059,c36103"
533,USA,New York,Lindenhurst,11757,NY,c36103
537,USA,Wisconsin,Sussex,53089,WI,c55133
538,USA,Alabama,Arab,35016,AL,"c01009,c01043,c01095,c01103"
539,USA,Virginia,Richmond,23235,VA,"c51041,c51760"
540,USA,Virginia,Henrico,23238,VA,"c51075,c51087"
545,USA,New York,Levittown,11756,NY,c36059
547,USA,Tennessee,Fayetteville,37334,TN,"c47003,c47103,c47127"
548,USA,Michigan,Northville,48168,MI,"c26161,c26163"
554,USA,Kentucky,Ft. Thomas,41075,KY,c21037
555,USA,New Jersey,Montclair,07042,NJ,c34013
558,USA,Connecticut,New Haven,06519,CT,c09009
