County,Teams
c26027,"2474,4325,4409,5069,5182,5204,6137,6568,6588,6627"
c17167,"4156,4314"
c26029,"3618,4376,4377,5247,6087,6098,7208"
c19179,"6889"
c06101,"4643"
c06103,"4643"
c06105,"4643"
c06107,"6657,7057"
c06109,"1323,1422"
c22013,"7899"
c22015,"1818"
c22017,"1818"
c56035,"3288"
c21211,"2783"
c21217,"2856"
c21215,"5492,6858,7516"
c21219,"7484"
c56039,"3374"
c12063,"6919"
c16019,"1566"
c12061,"7442"
c17011,"6237"
c12065,"6145,6184"
c16013,"6358"
c55078,"93,1716,6318"
c16011,"1569,3562,6680"
c12069,"1557,2797,4065"
c16017,"2130"
c17019,"4096"
c16015,"1891,2122,2594,5461,5871"
c31119,"6359"
c31111,"6359"
c31113,"6359"
c31115,"6359"
c31117,"4386"
c26159,"1254,1940,2767,2959,4855,5152,5182,5194,5227,5462,5675,6043,6568,6588,6589,7658,7809"
c40147,"2165,7744"
c26155,"5084,5234,5235,5260,5282,5561,5641,6548,7056,7166,7202"
c26157,"4994,5215,5524,5533,6631,7784"
c26151,"4994,5155,6085,6091,6093,6344,7192"
c26153,"4715,4835"
c40145,"2424,4005"
c22001,"3616,4336"
c01063,"590"
c40143,"31,932,1209,2333,2424,2795,3507,3593,5889,6026,7744"
c01061,"2556,5722"
c21109,"3844"
c21107,"7454,7657"
c21105,"3843,6157"
c40141,"3457"
c21103,"2783"
c21101,"7454,7657"
c04011,"5059,6656"
c40103,"1750"
c40101,"4005"
c51139,"4466"
c40107,"3163"
c40105,"2165"
c51135,"6189"
c51137,"4466"
c40109,"1561,2359,2395,2461,2723,2773,2986,5550,5578,5621,5930,6730"
c51131,"1908"
c27171,"3023,3026,3058,4632,4693,5348,5542,7028,7530,7893"
c51133,"6312"
c27173,"3212,4182,5638"
c22009,"6923"
c47155,"6517"
c47157,"4764,5002,5045,7313"
c47151,"4265,4576,4630"
c47153,"4924,5005,5058,6937"
c47159,"6846"
c51001,"1908"
c51003,"619"
c51005,"3939"
c51007,"6189"
c51009,"3939"
c29195,"4522,6424"
c51735,"122,2028,5957"
c51730,"5546"
c29197,"6889"
c55027,"269,1091"
c37185,"4291,6240"
c55025,"1306"
c37187,"3796"
c55023,"5903"
c37181,"4291"
c55021,"7915"
c37183,"435,2059,3229,3459,4816,4828,5160,5190,5511,5518,5607,6215,6500,6908,7463,7671,7890"
c37189,"6639"
c55029,"4970,5702,6079,6088,6113,6637"
c47021,"4306,4740,5186,7525"
c47023,"5002"
c47025,"4576"
c47027,"6846"
c47029,"6928"
c36107,"2053"
c36105,"4285"
c36103,"28,263,271,287,329,358,496,514,527,533,564,601,810,870,871,1751,2161,2347,2487,2875,3137,3171,3624,4006,4458,5016,5099,5659,5736,6422,6423,6746,7400"
c18109,"5944"
c35037,"4799,7573"
c18107,"868,1018,3176,7617"
c18105,"3494,5403"
c18103,"2909,3940"
c36109,"639,5254"
c45089,"6167,6222,6626"
c51820,"3361"
c45081,"1293"
c45083,"6961"
c45085,"5777"
c45087,"6961"
c55113,"6732"
c55111,"171"
c55117,"3418,5586,6381"
c55115,"93,1716,6318"
c55119,"6732"
c05049,"7483"
c13251,"3998"
c13257,"343"
c13255,"6750"
c05041,"7263,7878"
c05043,"7655"
c05045,"6640,7123,7804"
c05047,"7106"
c48363,"4364"
c48361,"7440"
c48367,"704,3355,3676,4192,4206,6133,6655,7121,7303,7506,7534,7535"
c48365,"3037"
c56033,"1303"
c48369,"4799,7573"
c17003,"4356,7255"
c17001,"7141"
c17007,"3352"
c02122,"568"
c17005,"7496"
c54065,"2988"
c54067,"3492"
c53077,"2926,3876,7696"
c53075,"4061,4104,5920"
c53073,"2605,4205"
c48011,"4694"
c54089,"401"
c54087,"3492"
c54063,"5724"
c54083,"3274"
c54081,"337"
c49013,"6844"
c48067,"6586"
c45009,"342,3489,4083"
c05131,"5437"
c05133,"3152"
c05135,"7483"
c05137,"3937,6492,7766"
c05139,"7899"
c42055,"4050"
c06077,"1662,3669"
c42053,"3954,3957"
c42051,"2656,4150"
c02230,"568"
c47139,"7406"
c13079,"4941"
c13073,"5632,7076,7676"
c13071,"7499"
c13077,"3344"
c13075,"7499"
c09001,"230,1099,3634,4572,6346,7462"
c48109,"2613"
c09005,"237,716,1099,2712,2785,2836,3461,3525,4055,6811"
c09007,"1699,3654,4557,5746"
c09009,"155,195,228,558,999,1071,2064,2067,3525,5142,5856,7407,7869"
c48101,"3366"
c31045,"5657"
c48105,"4063"
c06023,"5198"
c06021,"4643"
c06027,"6657,7057"
c54109,"337"
c06025,"1972,3491,6515"
c29125,"6817"
c31043,"5906"
c06029,"399,585,5869,6060,7778"
c29121,"4809"
c29123,"5060"
c35043,"4153,7540"
c48425,"7125"
c35041,"7573"
c35047,"7540,7649"
c31041,"6359"
c35045,"4153,7540"
c39073,"4085"
c35049,"7540,7649"
c48427,"2966,3028,3029,4332,5894,5960,6180,6664,6733,6754,6830"
c13107,"3998"
c13105,"4965"
c13103,"3998"
c13101,"3556"
c48421,"4694"
c13109,"3998"
c48423,"3037"
c22007,"5997,6103"
c22005,"3337,3606,3753,3991,4978,5785,6489,7331"
c22003,"3616,4336"
c26019,"4398,5562"
c17179,"2481,4143,5442"
c17177,"81"
c26015,"4381,4408,5161,5248,5256,6090,7187,7203,7811"
c17175,"1736,1756,2040,2081,7417"
c26017,"5166,5216,5224,5424,5504,5509,5603,6020,6071,6073,6193,6631"
c17173,"4156,4314"
c26011,"5224,5504,5661,6545,6611"
c17171,"4232"
c26013,"6557,6558"
c39111,"7515"
c39113,"3138,5811,6032,7434"
c39115,"7515"
c39117,"3010"
